序号	变量名	数据类型	隐藏初始值	初始值	掉电保持	网络公开	注释	软元件地址	node_id
	物料二维码_上位机[24]	INT		0				R10034	ns=4;s=上位机通讯|物料二维码_上位机[24]
	物料二维码_上位机[25]	INT		0				R10035	ns=4;s=上位机通讯|物料二维码_上位机[25]
	物料二维码_上位机[26]	INT		0				R10036	ns=4;s=上位机通讯|物料二维码_上位机[26]
	物料二维码_上位机[27]	INT		0				R10037	ns=4;s=上位机通讯|物料二维码_上位机[27]
	物料二维码_上位机[28]	INT		0				R10038	ns=4;s=上位机通讯|物料二维码_上位机[28]
	物料二维码_上位机[29]	INT		0				R10039	ns=4;s=上位机通讯|物料二维码_上位机[29]
3	S04数据清空	BOOL		OFF	保持	私有		R10100.4	ns=4;s=上位机通讯|S04数据清空
4	S041准备信号	BOOL		OFF	保持	公有	磁搅1_PLC TO PC 设备可以取放料	R10100.0	ns=4;s=上位机通讯|S041准备信号
5	S041磁搅状态	INT		0	保持	公有	磁搅1_PLC TO PC  1空闲，2Busy	R10101	ns=4;s=上位机通讯|S041磁搅状态
6	S041允许加工	BOOL		OFF	保持	公有	磁搅1_PLC TO PC 放料完成等待参数下发	R10100.1	ns=4;s=上位机通讯|S041允许加工
7	S041磁搅工艺选择	INT		0	保持	公有	磁搅工位1_PC TO PLC 1搅拌，2加热，3搅拌+加热	R10102	ns=4;s=上位机通讯|S041磁搅工艺选择
8	S041参数写入完成	BOOL		OFF	保持	公有	磁搅工位1_PC TO PLC 	R10100.2	ns=4;s=上位机通讯|S041参数写入完成
9	S041加工完成	BOOL		OFF	保持	公有	磁搅工位1_PLC TO PC	R10100.3	ns=4;s=上位机通讯|S041加工完成
10	S042准备信号	BOOL		OFF	保持	公有	磁搅工位2_PLC TO PC 设备可以取放料	R10110.0	ns=4;s=上位机通讯|S042准备信号
11	S042磁搅状态	INT		0	保持	公有	磁搅工位2_PLC TO PC  1空闲，2Busy	R10111	ns=4;s=上位机通讯|S042磁搅状态
12	S042允许加工	BOOL		OFF	保持	公有	磁搅工位2_PLC TO PC 放料完成等待参数下发	R10110.1	ns=4;s=上位机通讯|S042允许加工
13	S042磁搅工艺选择	INT		0	保持	公有	磁搅工位2_PC TO PLC 1搅拌，2加热，3搅拌+加热	R10112	ns=4;s=上位机通讯|S042磁搅工艺选择
14	S042参数写入完成	BOOL		OFF	保持	公有	磁搅工位2_PC TO PLC 	R10110.2	ns=4;s=上位机通讯|S042参数写入完成
15	S042加工完成	BOOL		OFF	保持	公有	磁搅工位2_PLC TO PC	R10110.3	ns=4;s=上位机通讯|S042加工完成
16	S043准备信号	BOOL		OFF	保持	公有	磁搅工位3_PLC TO PC 设备可以取放料	R10120.0	ns=4;s=上位机通讯|S043准备信号
17	S043磁搅状态	INT		0	保持	公有	磁搅工位3_PLC TO PC  1空闲，2Busy	R10121	ns=4;s=上位机通讯|S043磁搅状态
18	S043允许加工	BOOL		OFF	保持	公有	磁搅工位3_PLC TO PC 放料完成等待参数下发	R10120.1	ns=4;s=上位机通讯|S043允许加工
19	S043磁搅工艺选择	INT		0	保持	公有	磁搅工位3_PC TO PLC 1搅拌，2加热，3搅拌+加热	R10122	ns=4;s=上位机通讯|S043磁搅工艺选择
20	S043参数写入完成	BOOL		OFF	保持	公有	磁搅工位3_PC TO PLC 	R10120.2	ns=4;s=上位机通讯|S043参数写入完成
21	S043加工完成	BOOL		OFF	保持	公有	磁搅工位3_PLC TO PC	R10120.3	ns=4;s=上位机通讯|S043加工完成
22	S044准备信号	BOOL		OFF	保持	公有	磁搅工位4_PLC TO PC 设备可以取放料	R10130.0	ns=4;s=上位机通讯|S044准备信号
23	S044磁搅状态	INT		0	保持	公有	磁搅工位4_PLC TO PC  1空闲，2Busy	R10131	ns=4;s=上位机通讯|S044磁搅状态
24	S044允许加工	BOOL		OFF	保持	公有	磁搅工位4_PLC TO PC 放料完成等待参数下发	R10130.1	ns=4;s=上位机通讯|S044允许加工
25	S044磁搅工艺选择	INT		0	保持	公有	磁搅工位4_PC TO PLC 1搅拌，2加热，3搅拌+加热	R10132	ns=4;s=上位机通讯|S044磁搅工艺选择
26	S044参数写入完成	BOOL		OFF	保持	公有	磁搅工位4_PC TO PLC 	R10130.2	ns=4;s=上位机通讯|S044参数写入完成
27	S044加工完成	BOOL		OFF	保持	公有	磁搅工位4_PLC TO PC	R10130.3	ns=4;s=上位机通讯|S044加工完成
28	S045准备信号	BOOL		OFF	保持	公有	磁搅工位5_PLC TO PC 设备可以取放料	R10140.0	ns=4;s=上位机通讯|S045准备信号
29	S045磁搅状态	INT		0	保持	公有	磁搅工位5_PLC TO PC  1空闲，2Busy	R10141	ns=4;s=上位机通讯|S045磁搅状态
30	S045允许加工	BOOL		OFF	保持	公有	磁搅工位5_PLC TO PC 放料完成等待参数下发	R10140.1	ns=4;s=上位机通讯|S045允许加工
31	S045磁搅工艺选择	INT		0	保持	公有	磁搅工位5_PC TO PLC 1搅拌，2加热，3搅拌+加热	R10142	ns=4;s=上位机通讯|S045磁搅工艺选择
32	S045参数写入完成	BOOL		OFF	保持	公有	磁搅工位5_PC TO PLC 	R10140.2	ns=4;s=上位机通讯|S045参数写入完成
33	S045加工完成	BOOL		OFF	保持	公有	磁搅工位5_PLC TO PC	R10140.3	ns=4;s=上位机通讯|S045加工完成
34	S046准备信号	BOOL		OFF	保持	公有	磁搅工位6_PLC TO PC 设备可以取放料	R10150.0	ns=4;s=上位机通讯|S046准备信号
35	S046磁搅状态	INT		0	保持	公有	磁搅工位6_PLC TO PC  1空闲，2Busy	R10151	ns=4;s=上位机通讯|S046磁搅状态
36	S046允许加工	BOOL		OFF	保持	公有	磁搅工位6_PLC TO PC 放料完成等待参数下发	R10150.1	ns=4;s=上位机通讯|S046允许加工
37	S046磁搅工艺选择	INT		0	保持	公有	磁搅工位6_PC TO PLC 1搅拌，2加热，3搅拌+加热	R10152	ns=4;s=上位机通讯|S046磁搅工艺选择
38	S046参数写入完成	BOOL		OFF	保持	公有	磁搅工位6_PC TO PLC 	R10150.2	ns=4;s=上位机通讯|S046参数写入完成
39	S046加工完成	BOOL		OFF	保持	公有	磁搅工位6_PLC TO PC	R10150.3	ns=4;s=上位机通讯|S046加工完成
40	磁搅温度反馈_上位机	REAL[6]		...	保持	公有		R10160	ns=4;s=上位机通讯|磁搅温度反馈_上位机
	磁搅温度反馈_上位机[0]	REAL		0.000000				R10160	ns=4;s=上位机通讯|磁搅温度反馈_上位机[0]
	磁搅温度反馈_上位机[1]	REAL		0.000000				R10162	ns=4;s=上位机通讯|磁搅温度反馈_上位机[1]
	磁搅温度反馈_上位机[2]	REAL		0.000000				R10164	ns=4;s=上位机通讯|磁搅温度反馈_上位机[2]
	磁搅温度反馈_上位机[3]	REAL		0.000000				R10166	ns=4;s=上位机通讯|磁搅温度反馈_上位机[3]
	磁搅温度反馈_上位机[4]	REAL		0.000000				R10168	ns=4;s=上位机通讯|磁搅温度反馈_上位机[4]
	磁搅温度反馈_上位机[5]	REAL		0.000000				R10170	ns=4;s=上位机通讯|磁搅温度反馈_上位机[5]
41	磁搅速度设置_上位机	INT[6]		...	保持	公有		R10180	ns=4;s=上位机通讯|磁搅速度设置_上位机
	磁搅速度设置_上位机[0]	INT		0				R10180	ns=4;s=上位机通讯|磁搅速度设置_上位机[0]
	磁搅速度设置_上位机[1]	INT		0				R10181	ns=4;s=上位机通讯|磁搅速度设置_上位机[1]
	磁搅速度设置_上位机[2]	INT		0				R10182	ns=4;s=上位机通讯|磁搅速度设置_上位机[2]
	磁搅速度设置_上位机[3]	INT		0				R10183	ns=4;s=上位机通讯|磁搅速度设置_上位机[3]
	磁搅速度设置_上位机[4]	INT		0				R10184	ns=4;s=上位机通讯|磁搅速度设置_上位机[4]
	磁搅速度设置_上位机[5]	INT		0				R10185	ns=4;s=上位机通讯|磁搅速度设置_上位机[5]
42	磁搅温度设置_上位机	INT[6]		...	保持	公有		R10190	ns=4;s=上位机通讯|磁搅温度设置_上位机
	磁搅温度设置_上位机[0]	INT		0				R10190	ns=4;s=上位机通讯|磁搅温度设置_上位机[0]
	磁搅温度设置_上位机[1]	INT		0				R10191	ns=4;s=上位机通讯|磁搅温度设置_上位机[1]
	磁搅温度设置_上位机[2]	INT		0				R10192	ns=4;s=上位机通讯|磁搅温度设置_上位机[2]
	磁搅温度设置_上位机[3]	INT		0				R10193	ns=4;s=上位机通讯|磁搅温度设置_上位机[3]
	磁搅温度设置_上位机[4]	INT		0				R10194	ns=4;s=上位机通讯|磁搅温度设置_上位机[4]
	磁搅温度设置_上位机[5]	INT		0				R10195	ns=4;s=上位机通讯|磁搅温度设置_上位机[5]
43	磁搅时间设置_上位机	DINT[6]		...	保持	公有		R10200	ns=4;s=上位机通讯|磁搅时间设置_上位机
	磁搅时间设置_上位机[0]	DINT		30000				R10200	ns=4;s=上位机通讯|磁搅时间设置_上位机[0]
	磁搅时间设置_上位机[1]	DINT		30000				R10202	ns=4;s=上位机通讯|磁搅时间设置_上位机[1]
	磁搅时间设置_上位机[2]	DINT		30000				R10204	ns=4;s=上位机通讯|磁搅时间设置_上位机[2]
	磁搅时间设置_上位机[3]	DINT		30000				R10206	ns=4;s=上位机通讯|磁搅时间设置_上位机[3]
	磁搅时间设置_上位机[4]	DINT		30000				R10208	ns=4;s=上位机通讯|磁搅时间设置_上位机[4]
	磁搅时间设置_上位机[5]	DINT		30000				R10210	ns=4;s=上位机通讯|磁搅时间设置_上位机[5]
44	磁搅安全温度设置_上位机	INT[6]		...	保持	公有		R10220	ns=4;s=上位机通讯|磁搅安全温度设置_上位机
	磁搅安全温度设置_上位机[0]	INT		0				R10220	ns=4;s=上位机通讯|磁搅安全温度设置_上位机[0]
	磁搅安全温度设置_上位机[1]	INT		0				R10221	ns=4;s=上位机通讯|磁搅安全温度设置_上位机[1]
	磁搅安全温度设置_上位机[2]	INT		0				R10222	ns=4;s=上位机通讯|磁搅安全温度设置_上位机[2]
	磁搅安全温度设置_上位机[3]	INT		0				R10223	ns=4;s=上位机通讯|磁搅安全温度设置_上位机[3]
	磁搅安全温度设置_上位机[4]	INT		0				R10224	ns=4;s=上位机通讯|磁搅安全温度设置_上位机[4]
	磁搅安全温度设置_上位机[5]	INT		0				R10225	ns=4;s=上位机通讯|磁搅安全温度设置_上位机[5]
45	S05准备信号	BOOL		OFF	保持	公有	拍照工位机器人可取放料 PLC TO PC	R10230.0	ns=4;s=上位机通讯|S05准备信号
46	S05数据	INT[30]		...	保持	公有	S05 PC-PLC 照片命名		ns=4;s=上位机通讯|S05数据
	S05数据[0]	INT		16705					ns=4;s=上位机通讯|S05数据[0]
	S05数据[1]	INT		16962					ns=4;s=上位机通讯|S05数据[1]
	S05数据[2]	INT		16705					ns=4;s=上位机通讯|S05数据[2]
	S05数据[3]	INT		16962					ns=4;s=上位机通讯|S05数据[3]
	S05数据[4]	INT		16705					ns=4;s=上位机通讯|S05数据[4]
	S05数据[5]	INT		16962					ns=4;s=上位机通讯|S05数据[5]
	S05数据[6]	INT		16705					ns=4;s=上位机通讯|S05数据[6]
	S05数据[7]	INT		16962					ns=4;s=上位机通讯|S05数据[7]
	S05数据[8]	INT		0					ns=4;s=上位机通讯|S05数据[8]
	S05数据[9]	INT		0					ns=4;s=上位机通讯|S05数据[9]
	S05数据[10]	INT		0					ns=4;s=上位机通讯|S05数据[10]
	S05数据[11]	INT		0					ns=4;s=上位机通讯|S05数据[11]
	S05数据[12]	INT		0					ns=4;s=上位机通讯|S05数据[12]
	S05数据[13]	INT		0					ns=4;s=上位机通讯|S05数据[13]
	S05数据[14]	INT		0					ns=4;s=上位机通讯|S05数据[14]
	S05数据[15]	INT		0					ns=4;s=上位机通讯|S05数据[15]
	S05数据[16]	INT		0					ns=4;s=上位机通讯|S05数据[16]
	S05数据[17]	INT		0					ns=4;s=上位机通讯|S05数据[17]
	S05数据[18]	INT		0					ns=4;s=上位机通讯|S05数据[18]
	S05数据[19]	INT		0					ns=4;s=上位机通讯|S05数据[19]
	S05数据[20]	INT		0					ns=4;s=上位机通讯|S05数据[20]
	S05数据[21]	INT		0					ns=4;s=上位机通讯|S05数据[21]
	S05数据[22]	INT		0					ns=4;s=上位机通讯|S05数据[22]
	S05数据[23]	INT		0					ns=4;s=上位机通讯|S05数据[23]
	S05数据[24]	INT		0					ns=4;s=上位机通讯|S05数据[24]
	S05数据[25]	INT		0					ns=4;s=上位机通讯|S05数据[25]
	S05数据[26]	INT		0					ns=4;s=上位机通讯|S05数据[26]
	S05数据[27]	INT		0					ns=4;s=上位机通讯|S05数据[27]
	S05数据[28]	INT		0					ns=4;s=上位机通讯|S05数据[28]
	S05数据[29]	INT		0					ns=4;s=上位机通讯|S05数据[29]
47	S05拍照结果	INT		0	保持	公有	"拍照1OK	2NG  PLC TO PC"	R10231	ns=4;s=上位机通讯|S05拍照结果
48	S05加工完成	BOOL		OFF	保持	公有	拍照工位完成 PLC TO PC	R10230.1	ns=4;s=上位机通讯|S05加工完成
49	S06准备信号	BOOL		OFF	保持	公有	加溶液工位  PLC TO PC	R10300.0	ns=4;s=上位机通讯|S06准备信号
50	S06允许加工	BOOL		OFF	保持	公有	加溶液工位  放料完成等待参数下发 PLC TO PC	R10300.1	ns=4;s=上位机通讯|S06允许加工
51	S06工艺选择	INT		0	保持	公有	加溶液工位参数  PC TO PLC 1.只加1号溶液，2.只加2号溶液，3.1和2溶液都添加	R10301	ns=4;s=上位机通讯|S06工艺选择
52	S06_1号溶液添加量	INT		5	保持	公有	加溶液工位参数  PC TO PLC	R10302	ns=4;s=上位机通讯|S06_1号溶液添加量
53	S06_2号溶液添加量	INT		8	保持	公有	加溶液工位参数  PC TO PLC	R10303	ns=4;s=上位机通讯|S06_2号溶液添加量
54	S06参数写入完成	BOOL		OFF	保持	公有	加溶液工位  PC TO PLC	R10300.2	ns=4;s=上位机通讯|S06参数写入完成
55	S06加工完成	BOOL		OFF	保持	公有	加溶液工位  PLC TO PC	R10300.3	ns=4;s=上位机通讯|S06加工完成
56	S06数据清空	BOOL		OFF	保持	私有		R10300.4	ns=4;s=上位机通讯|S06数据清空
57	S08原点信号	BOOL		OFF	保持	公有	S08开关盖工位-PLC TO PC	R10400.0	ns=4;s=上位机通讯|S08原点信号
58	S082瓶盖暂存位	INT		0	保持	公有	取放瓶盖工位 PC TO PLC  1-5	R10401	ns=4;s=上位机通讯|S082瓶盖暂存位
59	S08允许加工	BOOL		OFF	保持	公有	S08开关盖工位-PLC TO PC 	R10400.1	ns=4;s=上位机通讯|S08允许加工
60	S08工艺选择	INT		0	保持	公有	S08开关盖工位-PC TO PLC 1-6	R10402	ns=4;s=上位机通讯|S08工艺选择
61	S08参数写入完成	BOOL		OFF	保持	公有	S08开关盖工位-PC TO PLC	R10400.2	ns=4;s=上位机通讯|S08参数写入完成
62	S08工艺完成	INT		0	保持	公有	S08开关盖工位-PLC TO PC 1-6	R10403	ns=4;s=上位机通讯|S08工艺完成
63	S082_1数据缓存	INT[30]		...	保持	公有	放瓶盖工位1二维码数据存放 PC-PLC		ns=4;s=上位机通讯|S082_1数据缓存
	S082_1数据缓存[0]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[0]
	S082_1数据缓存[1]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[1]
	S082_1数据缓存[2]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[2]
	S082_1数据缓存[3]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[3]
	S082_1数据缓存[4]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[4]
	S082_1数据缓存[5]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[5]
	S082_1数据缓存[6]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[6]
	S082_1数据缓存[7]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[7]
	S082_1数据缓存[8]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[8]
	S082_1数据缓存[9]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[9]
	S082_1数据缓存[10]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[10]
	S082_1数据缓存[11]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[11]
	S082_1数据缓存[12]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[12]
	S082_1数据缓存[13]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[13]
	S082_1数据缓存[14]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[14]
	S082_1数据缓存[15]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[15]
	S082_1数据缓存[16]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[16]
	S082_1数据缓存[17]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[17]
	S082_1数据缓存[18]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[18]
	S082_1数据缓存[19]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[19]
	S082_1数据缓存[20]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[20]
	S082_1数据缓存[21]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[21]
	S082_1数据缓存[22]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[22]
	S082_1数据缓存[23]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[23]
	S082_1数据缓存[24]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[24]
	S082_1数据缓存[25]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[25]
	S082_1数据缓存[26]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[26]
	S082_1数据缓存[27]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[27]
	S082_1数据缓存[28]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[28]
	S082_1数据缓存[29]	INT		0					ns=4;s=上位机通讯|S082_1数据缓存[29]
64	S082_2数据缓存	INT[30]		...	保持	公有	放瓶盖工位2二维码数据存放 PC-PLC		ns=4;s=上位机通讯|S082_2数据缓存
	S082_2数据缓存[0]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[0]
	S082_2数据缓存[1]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[1]
	S082_2数据缓存[2]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[2]
	S082_2数据缓存[3]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[3]
	S082_2数据缓存[4]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[4]
	S082_2数据缓存[5]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[5]
	S082_2数据缓存[6]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[6]
	S082_2数据缓存[7]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[7]
	S082_2数据缓存[8]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[8]
	S082_2数据缓存[9]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[9]
	S082_2数据缓存[10]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[10]
	S082_2数据缓存[11]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[11]
	S082_2数据缓存[12]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[12]
	S082_2数据缓存[13]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[13]
	S082_2数据缓存[14]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[14]
	S082_2数据缓存[15]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[15]
	S082_2数据缓存[16]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[16]
	S082_2数据缓存[17]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[17]
	S082_2数据缓存[18]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[18]
	S082_2数据缓存[19]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[19]
	S082_2数据缓存[20]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[20]
	S082_2数据缓存[21]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[21]
	S082_2数据缓存[22]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[22]
	S082_2数据缓存[23]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[23]
	S082_2数据缓存[24]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[24]
	S082_2数据缓存[25]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[25]
	S082_2数据缓存[26]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[26]
	S082_2数据缓存[27]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[27]
	S082_2数据缓存[28]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[28]
	S082_2数据缓存[29]	INT		0					ns=4;s=上位机通讯|S082_2数据缓存[29]
65	S082_3数据缓存	INT[30]		...	保持	公有	放瓶盖工位3二维码数据存放 PC-PLC		ns=4;s=上位机通讯|S082_3数据缓存
	S082_3数据缓存[0]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[0]
	S082_3数据缓存[1]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[1]
	S082_3数据缓存[2]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[2]
	S082_3数据缓存[3]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[3]
	S082_3数据缓存[4]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[4]
	S082_3数据缓存[5]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[5]
	S082_3数据缓存[6]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[6]
	S082_3数据缓存[7]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[7]
	S082_3数据缓存[8]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[8]
	S082_3数据缓存[9]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[9]
	S082_3数据缓存[10]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[10]
	S082_3数据缓存[11]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[11]
	S082_3数据缓存[12]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[12]
	S082_3数据缓存[13]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[13]
	S082_3数据缓存[14]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[14]
	S082_3数据缓存[15]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[15]
	S082_3数据缓存[16]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[16]
	S082_3数据缓存[17]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[17]
	S082_3数据缓存[18]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[18]
	S082_3数据缓存[19]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[19]
	S082_3数据缓存[20]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[20]
	S082_3数据缓存[21]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[21]
	S082_3数据缓存[22]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[22]
	S082_3数据缓存[23]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[23]
	S082_3数据缓存[24]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[24]
	S082_3数据缓存[25]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[25]
	S082_3数据缓存[26]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[26]
	S082_3数据缓存[27]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[27]
	S082_3数据缓存[28]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[28]
	S082_3数据缓存[29]	INT		0					ns=4;s=上位机通讯|S082_3数据缓存[29]
66	S082_4数据缓存	INT[30]		...	保持	公有	放瓶盖工位4二维码数据存放 PC-PLC		ns=4;s=上位机通讯|S082_4数据缓存
	S082_4数据缓存[0]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[0]
	S082_4数据缓存[1]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[1]
	S082_4数据缓存[2]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[2]
	S082_4数据缓存[3]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[3]
	S082_4数据缓存[4]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[4]
	S082_4数据缓存[5]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[5]
	S082_4数据缓存[6]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[6]
	S082_4数据缓存[7]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[7]
	S082_4数据缓存[8]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[8]
	S082_4数据缓存[9]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[9]
	S082_4数据缓存[10]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[10]
	S082_4数据缓存[11]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[11]
	S082_4数据缓存[12]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[12]
	S082_4数据缓存[13]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[13]
	S082_4数据缓存[14]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[14]
	S082_4数据缓存[15]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[15]
	S082_4数据缓存[16]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[16]
	S082_4数据缓存[17]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[17]
	S082_4数据缓存[18]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[18]
	S082_4数据缓存[19]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[19]
	S082_4数据缓存[20]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[20]
	S082_4数据缓存[21]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[21]
	S082_4数据缓存[22]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[22]
	S082_4数据缓存[23]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[23]
	S082_4数据缓存[24]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[24]
	S082_4数据缓存[25]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[25]
	S082_4数据缓存[26]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[26]
	S082_4数据缓存[27]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[27]
	S082_4数据缓存[28]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[28]
	S082_4数据缓存[29]	INT		0					ns=4;s=上位机通讯|S082_4数据缓存[29]
67	S082_5数据缓存	INT[30]		...	保持	公有	放瓶盖工位5二维码数据存放 PC-PLC		ns=4;s=上位机通讯|S082_5数据缓存
	S082_5数据缓存[0]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[0]
	S082_5数据缓存[1]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[1]
	S082_5数据缓存[2]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[2]
	S082_5数据缓存[3]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[3]
	S082_5数据缓存[4]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[4]
	S082_5数据缓存[5]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[5]
	S082_5数据缓存[6]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[6]
	S082_5数据缓存[7]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[7]
	S082_5数据缓存[8]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[8]
	S082_5数据缓存[9]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[9]
	S082_5数据缓存[10]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[10]
	S082_5数据缓存[11]	INT		0					ns=4;s=上位机通讯|S082_5数据缓存[11]
