Name,DataType,Comment,DeviceType,Address,,
,BOOL,异常201-伺服轴01异常,coil,2010,,
,BOOL,异常202-伺服轴02异常,coil,2020,,
,BOOL,异常203-伺服轴03异常,coil,2030,,
,BOOL,异常204-伺服轴04异常,coil,2040,,
,BOOL,异常205-伺服轴05异常,coil,2050,,
,BOOL,异常206-伺服轴06异常,coil,2060,,
,BOOL,异常207-伺服轴07异常,coil,2070,,
,BOOL,异常208-伺服轴08异常,coil,2080,,
,BOOL,异常209-伺服轴09异常,coil,2090,,
,BOOL,异常210-伺服轴10异常,coil,2100,,
,BOOL,异常211-伺服轴11异常,coil,2110,,
,BOOL,异常212-伺服轴12异常,coil,2120,,
,BOOL,异常213-伺服轴13异常,coil,2130,,
,BOOL,异常214-伺服轴14异常,coil,2140,,
,BOOL,异常250-其他元件异常,coil,2500,,
,BOOL,异常251-移液枪通讯异常,coil,2510,,
,BOOL,异常252-移液枪报警,coil,2520,,
,BOOL,异常256-电爪异常,coil,2560,,
,BOOL,异常262-RB报警：未知点位错误,coil,2620,,
,BOOL,异常263-RB报警：X、Y、Z参数超限制,coil,2630,,
,BOOL,异常264-RB报警：视觉参数误差过大,coil,2640,,
,BOOL,异常265-RB报警：1#吸嘴取料失败,coil,2650,,
,BOOL,异常266-RB报警：2#吸嘴取料失败,coil,2660,,
,BOOL,异常267-RB报警：3#吸嘴取料失败,coil,2670,,
,BOOL,异常268-RB报警：4#吸嘴取料失败,coil,2680,,
,BOOL,异常269-RB报警：取物料盘失败,coil,2690,,
,BOOL,异常280-RB碰撞异常,coil,2800,,
,BOOL,异常290-视觉系统通讯异常,coil,2900,,
,BOOL,异常291-视觉对位NG异常,coil,2910,,
,BOOL,异常292-扫码枪通讯异常,coil,2920,,
,BOOL,异常310-开电移载吸嘴吸真空异常,coil,3100,,
,BOOL,异常311-开电移载吸嘴破真空异常,coil,3110,,
,BOOL,异常312-称重移载吸嘴吸真空异常,coil,3120,,
,BOOL,异常313-称重移载吸嘴破真空异常,coil,3130,,
,BOOL,异常340-开路电压吸嘴移载气缸异常,coil,3400,,
,BOOL,异常342-开路电压吸嘴升降气缸异常,coil,3420,,
,BOOL,异常344-开路电压旋压气缸异常,coil,3440,,
,BOOL,异常350-称重吸嘴移载气缸异常,coil,3500,,
,BOOL,异常352-称重吸嘴升降气缸异常,coil,3520,,
,BOOL,异常354-清洗无尘布移载气缸异常,coil,3540,,
,BOOL,异常356-清洗无尘布压紧气缸异常,coil,3560,,
,BOOL,异常360-电解液瓶定位气缸异常,coil,3600,,
,BOOL,异常362-移液枪头盒定位气缸异常,coil,3620,,
COIL ALARM_364_SERVO_DRIVE_ERROR,BOOL,异常364-试剂瓶夹爪升降气缸异常,coil,3640,,
COIL ALARM_367_SERVO_DRIVER_ERROR,BOOL,异常366-试剂瓶夹爪气缸异常,coil,3660,,
COIL ALARM_370_SERVO_MODULE_ERROR,BOOL,异常370-压制模块吹气气缸异常,coil,3700,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
COIL + 功能模块/类型 + 具体描述（大写+下划线分隔）--针对bool值,,,,,,
REG +  功能模块/类型 + 具体描述（大写+下划线分隔）--针对寄存器,,,,,,
